l_shoulder,r_shoulder,l_elbow,r_elbow,l_wrist,r_wrist,l_hip,r_hip
"[0.5567134022712708, 0.28546440601348877, -0.08237460255622864]","[0.44661393761634827, 0.2506401538848877, -0.10629542917013168]","[0.5671080946922302, 0.4451596438884735, -0.04195327311754227]","[0.42897549271583557, 0.37415340542793274, -0.2630499601364136]","[0.5646783113479614, 0.5983331799507141, -0.08714735507965088]","[0.4867230951786041, 0.3560411334037781, -0.4876708984375]","[0.5208696126937866, 0.5896940231323242, 0.003953855950385332]","[0.45766693353652954, 0.5841101408004761, -0.0038944126572459936]"
"[0.5567108988761902, 0.28532394766807556, -0.07666203379631042]","[0.4466153085231781, 0.25049617886543274, -0.10456113517284393]","[0.567111074924469, 0.4451775848865509, -0.037419069558382034]","[0.43026167154312134, 0.37105464935302734, -0.2639038860797882]","[0.5645901560783386, 0.5983468890190125, -0.08629608154296875]","[0.48739951848983765, 0.35205987095832825, -0.4875454008579254]","[0.5209712982177734, 0.5895912051200867, 0.004516773857176304]","[0.4576683044433594, 0.5841355323791504, -0.004445350728929043]"
"[0.5566955208778381, 0.28478682041168213, -0.07642214745283127]","[0.4466327726840973, 0.250438928604126, -0.10173309594392776]","[0.567112147808075, 0.44512057304382324, -0.038896359503269196]","[0.430555522441864, 0.36539995670318604, -0.26214084029197693]","[0.5645759701728821, 0.5982941389083862, -0.08857894688844681]","[0.49300751090049744, 0.3464193642139435, -0.48082077503204346]","[0.5212101340293884, 0.5895557999610901, 0.004582589492201805]","[0.45774808526039124, 0.5843215584754944, -0.004504224751144648]"
"[0.556672990322113, 0.2844598889350891, -0.06614082306623459]","[0.4466268718242645, 0.25045037269592285, -0.09628526121377945]","[0.5671159625053406, 0.44514143466949463, -0.03513551130890846]","[0.43157094717025757, 0.3605525493621826, -0.2609480619430542]","[0.5645673274993896, 0.5982881188392639, -0.0874527171254158]","[0.49728408455848694, 0.3381238877773285, -0.47911375761032104]","[0.5214549899101257, 0.5895848870277405, 0.005037219263613224]","[0.4577907919883728, 0.5846885442733765, -0.004932198207825422]"
"[0.5565832257270813, 0.28446242213249207, -0.06513551622629166]","[0.4466237425804138, 0.2504158020019531, -0.094846710562706]","[0.5670841336250305, 0.4453512132167816, -0.03628077730536461]","[0.4322502017021179, 0.3557436764240265, -0.2612394094467163]","[0.5645627379417419, 0.5982834696769714, -0.08685065805912018]","[0.4997115433216095, 0.329995721578598, -0.4790738523006439]","[0.5215433239936829, 0.5897369384765625, 0.005159360822290182]","[0.4578755497932434, 0.5850059986114502, -0.005044815130531788]"
"[0.5562074184417725, 0.28490445017814636, -0.07026111334562302]","[0.4466199278831482, 0.250375360250473, -0.09674342721700668]","[0.566979706287384, 0.4454868733882904, -0.0396394282579422]","[0.4334287643432617, 0.35142913460731506, -0.26522505283355713]","[0.5645728707313538, 0.5982785224914551, -0.08827190846204758]","[0.5014813542366028, 0.32428932189941406, -0.48279067873954773]","[0.5215999484062195, 0.5900571346282959, 0.005000700708478689]","[0.4578994810581207, 0.5854272842407227, -0.004878126084804535]"
"[0.5558092594146729, 0.28607675433158875, -0.071059949696064]","[0.4466140568256378, 0.2504196763038635, -0.0975961983203888]","[0.5668834447860718, 0.4457876980304718, -0.04767501726746559]","[0.4342474639415741, 0.34402555227279663, -0.2760414481163025]","[0.5647138953208923, 0.5983002185821533, -0.0889052078127861]","[0.5051961541175842, 0.31207963824272156, -0.4910987317562103]","[0.5216264128684998, 0.5906342267990112, 0.004978418815881014]","[0.45790088176727295, 0.5860729217529297, -0.00485791964456439]"
"[0.5552941560745239, 0.28621605038642883, -0.074802465736866]","[0.44655340909957886, 0.25042322278022766, -0.09823012351989746]","[0.5667667388916016, 0.4460940659046173, -0.06441522389650345]","[0.4373582899570465, 0.3333139717578888, -0.2772291302680969]","[0.564777135848999, 0.5984089374542236, -0.09609434753656387]","[0.5138314366340637, 0.2976245880126953, -0.48920106887817383]","[0.5216732621192932, 0.590769350528717, 0.00365433213301003]","[0.45788997411727905, 0.5861542224884033, -0.003502842038869858]"
"[0.5547524094581604, 0.28627094626426697, -0.07578897476196289]","[0.44622430205345154, 0.25055545568466187, -0.09900835156440735]","[0.566608190536499, 0.44610288739204407, -0.06671856343746185]","[0.44273844361305237, 0.32560521364212036, -0.27925679087638855]","[0.5648342967033386, 0.5984233617782593, -0.0978432446718216]","[0.5200014710426331, 0.2877381145954132, -0.48770031332969666]","[0.5217007994651794, 0.5909280776977539, 0.002807878190651536]","[0.4577261209487915, 0.5861579775810242, -0.002629241207614541]"
"[0.5542312860488892, 0.28625720739364624, -0.0750453993678093]","[0.4459019899368286, 0.25070711970329285, -0.1008056029677391]","[0.5665106177330017, 0.4460878372192383, -0.06498806923627853]","[0.44568344950675964, 0.32052409648895264, -0.2783948481082916]","[0.5649241805076599, 0.5982345342636108, -0.09782696515321732]","[0.5238595008850098, 0.28384584188461304, -0.474428653717041]","[0.5217122435569763, 0.5910912752151489, 0.0028043813072144985]","[0.45755404233932495, 0.5861697196960449, -0.0026228060014545918]"
