l_shoulder,r_shoulder,l_elbow,r_elbow,l_wrist,r_wrist,l_hip,r_hip
"[1118.9866943359375, 619.8927612304688]","[925.090576171875, 572.9967041015625]","[1154.34912109375, 762.7589111328125]","[790.6226806640625, 534.5048828125]","[1157.4063720703125, 915.1116943359375]","[665.3381958007812, 462.63299560546875]","[1073.5877685546875, 915.663330078125]","[951.7747192382812, 902.0311279296875]"
"[1119.08447265625, 620.0542602539062]","[923.864013671875, 574.2343139648438]","[1154.41796875, 762.6510009765625]","[787.5086669921875, 541.4000244140625]","[1157.987060546875, 914.3937377929688]","[662.45849609375, 473.8922119140625]","[1074.152099609375, 916.8136596679688]","[951.8494262695312, 903.5406494140625]"
"[1119.149658203125, 620.0770263671875]","[923.4589233398438, 575.288818359375]","[1154.539794921875, 762.4403076171875]","[786.7508544921875, 547.1873168945312]","[1158.80078125, 914.604736328125]","[658.1974487304688, 487.3200988769531]","[1074.334228515625, 916.5560302734375]","[951.91064453125, 903.32568359375]"
"[1118.80029296875, 619.5924072265625]","[922.6805419921875, 576.8195190429688]","[1154.2811279296875, 762.863525390625]","[784.5819091796875, 556.567626953125]","[1159.0118408203125, 914.23974609375]","[651.0719604492188, 497.9206237792969]","[1074.2509765625, 917.377197265625]","[951.76220703125, 904.9122314453125]"
"[1118.5662841796875, 619.9822387695312]","[922.771484375, 577.9288330078125]","[1154.6903076171875, 764.0169067382812]","[785.11767578125, 564.1085205078125]","[1159.135986328125, 913.8814697265625]","[653.388671875, 512.2001953125]","[1073.938232421875, 916.4254760742188]","[951.9955444335938, 903.9995727539062]"
"[1118.359619140625, 620.4281005859375]","[923.9317626953125, 579.6898193359375]","[1154.601318359375, 764.307861328125]","[786.291015625, 570.236572265625]","[1159.626953125, 914.4548950195312]","[647.3324584960938, 520.703857421875]","[1073.74560546875, 918.9276123046875]","[952.65087890625, 906.81787109375]"
"[1118.3359375, 619.7667236328125]","[923.3805541992188, 579.776123046875]","[1154.361083984375, 764.0121459960938]","[783.107666015625, 575.7567138671875]","[1159.869384765625, 913.5655517578125]","[641.048095703125, 533.7998657226562]","[1074.3875732421875, 918.3046875]","[953.20751953125, 906.3173828125]"
"[1118.2711181640625, 619.8330078125]","[922.9942626953125, 580.7382202148438]","[1154.366943359375, 764.2992553710938]","[783.8790283203125, 582.08154296875]","[1160.396484375, 913.6441650390625]","[638.64892578125, 549.0961303710938]","[1074.213623046875, 917.9442138671875]","[953.0023193359375, 906.3121948242188]"
"[1118.14453125, 619.8858642578125]","[922.99853515625, 580.82763671875]","[1154.318603515625, 764.4345703125]","[783.47900390625, 582.2687377929688]","[1160.6011962890625, 913.962890625]","[637.919189453125, 549.1118774414062]","[1074.1116943359375, 917.733154296875]","[953.1293334960938, 906.0555419921875]"
"[1117.8060302734375, 620.0867919921875]","[922.234619140625, 583.1162109375]","[1154.053466796875, 765.3582763671875]","[784.59423828125, 595.532958984375]","[1160.3948974609375, 913.7037353515625]","[633.88037109375, 575.9412841796875]","[1073.6685791015625, 918.3885498046875]","[952.3035278320312, 907.1298828125]"
"[1118.104248046875, 617.9591064453125]","[922.9923706054688, 582.661376953125]","[1152.79931640625, 768.3677978515625]","[786.5833740234375, 597.337646484375]","[1158.938232421875, 910.01416015625]","[637.12646484375, 586.5263671875]","[1073.9339599609375, 920.8126831054688]","[953.5555419921875, 909.02783203125]"
"[1117.210205078125, 617.634033203125]","[921.7919921875, 584.1453857421875]","[1152.33984375, 767.8726806640625]","[783.9503173828125, 605.0406494140625]","[1159.2000732421875, 909.5667724609375]","[635.3320922851562, 600.915771484375]","[1073.066162109375, 921.546142578125]","[952.8531494140625, 910.3194580078125]"
