l_shoulder,r_shoulder,l_elbow,r_elbow,l_wrist,r_wrist,l_hip,r_hip
"[1047.8134765625, 297.0932922363281]","[848.9317016601562, 293.99761962890625]","[1070.49853515625, 450.8070068359375]","[796.4169921875, 426.2698974609375]","[1061.328857421875, 588.6539306640625]","[724.3405151367188, 542.494140625]","[1006.15087890625, 587.8062744140625]","[882.52392578125, 585.4033203125]"
"[1047.03662109375, 297.12542724609375]","[847.9275512695312, 294.1585693359375]","[1069.88427734375, 450.31170654296875]","[797.9906005859375, 427.2717590332031]","[1059.9266357421875, 589.1299438476562]","[730.3978881835938, 546.6138916015625]","[1005.62353515625, 588.3118286132812]","[881.7509765625, 586.083740234375]"
"[1046.11572265625, 296.54852294921875]","[847.6728515625, 294.15936279296875]","[1069.125732421875, 450.44500732421875]","[798.330322265625, 428.26434326171875]","[1058.3231201171875, 589.306884765625]","[736.430908203125, 547.677001953125]","[1005.06689453125, 587.6483764648438]","[881.365478515625, 585.7132568359375]"
"[1044.98388671875, 297.14532470703125]","[847.026123046875, 293.9677734375]","[1068.0955810546875, 450.8169250488281]","[799.784423828125, 428.8277893066406]","[1057.7886962890625, 589.3421020507812]","[741.2623901367188, 550.48974609375]","[1004.2450561523438, 587.6713256835938]","[880.5972290039062, 585.5557861328125]"
"[1044.1171875, 297.5174255371094]","[846.7879028320312, 294.26507568359375]","[1067.7542724609375, 451.0181884765625]","[801.1184692382812, 429.1540832519531]","[1057.23828125, 589.0834350585938]","[746.01171875, 552.6829223632812]","[1004.0059204101562, 587.3219604492188]","[880.6217651367188, 585.2952880859375]"
"[1043.4876708984375, 297.787841796875]","[845.8638916015625, 295.000244140625]","[1067.66796875, 451.79925537109375]","[801.1307373046875, 430.8387451171875]","[1056.59521484375, 589.7073974609375]","[749.5470581054688, 557.7617797851562]","[1003.55615234375, 587.772705078125]","[880.00341796875, 586.036865234375]"
"[1043.50390625, 297.17974853515625]","[845.1937866210938, 295.44854736328125]","[1067.993408203125, 451.93475341796875]","[800.9765625, 433.7042541503906]","[1056.302490234375, 590.0598754882812]","[753.5098876953125, 561.391357421875]","[1003.7265014648438, 587.6531372070312]","[880.0193481445312, 586.3433227539062]"
"[1043.0645751953125, 297.9368896484375]","[844.3140869140625, 296.72650146484375]","[1067.9072265625, 452.55694580078125]","[800.8597412109375, 437.66802978515625]","[1056.1776123046875, 590.0015258789062]","[757.3285522460938, 564.0706176757812]","[1003.0806884765625, 588.12548828125]","[879.0615234375, 586.9640502929688]"
"[1042.44580078125, 298.33245849609375]","[843.76123046875, 297.3277587890625]","[1067.7645263671875, 453.54541015625]","[801.8072509765625, 439.2052001953125]","[1056.3455810546875, 590.259033203125]","[761.5158081054688, 565.8283081054688]","[1002.9867553710938, 588.390625]","[878.9313354492188, 587.3834838867188]"
"[1040.861328125, 297.99542236328125]","[845.03173828125, 294.32037353515625]","[1068.3408203125, 458.2623596191406]","[804.04833984375, 438.5061950683594]","[1054.04638671875, 592.7507934570312]","[764.6201171875, 567.4298095703125]","[1003.1742553710938, 587.4190063476562]","[880.6031494140625, 585.03759765625]"
